molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,inactive,519.1420000000002,7.051540000000005,1.0,8.0,4.920818753952375
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,inactive,334.3570000000001,2.43804,2.0,7.0,1.0
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,inactive,334.3570000000001,2.43804,2.0,7.0,3.0
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,inactive,379.766,4.327120000000001,1.0,4.0,1.0
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,inactive,379.766,4.327120000000001,1.0,4.0,3.3010299956639813
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,inactive,393.51200000000006,5.006400000000004,1.0,5.0,1.0
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,inactive,393.51200000000006,5.006400000000004,1.0,5.0,3.3979400086720375
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,inactive,424.5700000000003,5.129880000000004,2.0,6.0,1.0
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,inactive,424.5700000000003,5.129880000000004,2.0,6.0,3.4559319556497243
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,inactive,410.8860000000001,4.493580000000002,2.0,6.0,1.0
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,inactive,410.8860000000001,4.493580000000002,2.0,6.0,3.5228787452803374
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,inactive,357.43500000000006,2.9163400000000017,0.0,6.0,1.0
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,inactive,357.43500000000006,2.9163400000000017,0.0,6.0,3.5228787452803374
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,inactive,430.41100000000006,4.470480000000003,2.0,6.0,1.0
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,inactive,430.41100000000006,4.470480000000003,2.0,6.0,3.6989700043360187
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,inactive,438.5970000000003,5.483400000000005,2.0,6.0,1.0
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,inactive,438.5970000000003,5.483400000000005,2.0,6.0,3.6989700043360187
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,inactive,511.07200000000023,6.686700000000005,1.0,7.0,1.0
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,inactive,511.07200000000023,6.686700000000005,1.0,7.0,3.6989700043360187
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,inactive,401.87500000000006,4.667120000000002,2.0,6.0,1.0
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,inactive,401.87500000000006,4.667120000000002,2.0,6.0,3.6989700043360187
CHEMBL210632,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1,inactive,434.4770000000002,3.662880000000002,2.0,8.0,1.0
CHEMBL210632,COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1,inactive,434.4770000000002,3.662880000000002,2.0,8.0,4.221848749616356
CHEMBL210497,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1,inactive,471.5200000000002,2.10768,3.0,9.0,1.0
